name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
PGC036217,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC036217/P4/,200,3,3,PGC036217_dbarn.outgal,"[""PGC036217_dbarn.outgal"", ""PGC036217_onecomp.outgal"", ""PGC036217_twocomp.outgal""]",
PGC037373,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC037373/P4/,200,3,3,PGC037373_dbar.outgal,"[""PGC037373_dbar.outgal"", ""PGC037373_onecomp.outgal"", ""PGC037373_twocomp.outgal""]",
PGC037625,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC037625/P4/,404,0,0,,[],
PGC037712,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC037712/P4/,404,0,0,,[],
PGC038250,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC038250/P4/,200,3,3,PGC038250_dbar.outgal,"[""PGC038250_dbar.outgal"", ""PGC038250_onecomp.outgal"", ""PGC038250_twocomp.outgal""]",
PGC038717,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC038717/P4/,404,0,0,,[],
PGC039052,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC039052/P4/,404,0,0,,[],
PGC039359,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC039359/P4/,404,0,0,,[],
PGC039413,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC039413/P4/,404,0,0,,[],
PGC040045,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC040045/P4/,404,0,0,,[],
PGC040447,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC040447/P4/,200,3,3,PGC040447_d.outgal,"[""PGC040447_d.outgal"", ""PGC040447_onecomp.outgal"", ""PGC040447_twocomp.outgal""]",
PGC040547,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC040547/P4/,404,0,0,,[],
PGC040869,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC040869/P4/,404,0,0,,[],
