name,complexity_rank,n_components,logmstar,m_i,dist_mpc,t,incl_deg,type,sample,mi_source,max_component_extent_kpc,size_pixels_cut
NGC1350,3,4,10.749,-21.79382412601958,18.83,0.0,64.8,Sab,S4G,predicted_B,7.823718705449499,203
NGC1357,3,3,10.724,-21.64850725982368,27.45,0.0,43.0,Sab,S4G,predicted_B,10.547060008372123,273
NGC1365,3,4,11.142,-22.67161589062741,16.56,4.0,62.7,Sb,S4G,predicted_B,12.807852969300182,331
NGC1367,3,3,10.797,-21.906003469393788,23.79,0.0,52.0,Sa,S4G,predicted_B,6.713325664211647,173
NGC1385,3,3,10.291,-20.76764097962071,16.0,8.0,52.3,Sc,S4G,predicted_B,3.7357179438402,97
NGC1398,3,3,11.109,-22.652495887531863,19.78,1.0,47.7,SBab,S4G,predicted_B,8.794075348163933,227
NGC1425,3,3,10.48,-21.28395044672543,20.4,3.0,68.2,Sb,S4G,predicted_B,6.550224683596596,169
NGC1433,3,3,10.298,-20.665531225328845,9.47,1.0,67.4,SBa,S4G,predicted_B,4.925192656663531,127
NGC1436,3,3,10.104,-20.22716907160882,17.66,1.0,48.1,Sab,S4G,predicted_B,7.686493003080203,199
NGC1452,3,3,10.322,-20.641631886180487,20.9,0.0,46.5,S0-a,S4G,predicted_B,5.203966915007152,135
NGC1512,3,3,10.36,-20.85744086508961,12.49,1.0,68.3,Sa,S4G,predicted_B,4.762811547938414,123
NGC1533,3,3,10.637,-21.469352859099782,20.2,-2.0,64.8,E-S0,S4G,predicted_B,4.320437920172555,111
NGC1546,3,3,10.391,-20.813317888936947,15.87,1.0,53.5,S0-a,S4G,predicted_B,5.493485324163491,141
NGC1553,3,3,11.081,-22.52352485673632,15.09,-1.0,56.9,S0,S4G,predicted_B,8.29967263232248,215
NGC1566,3,4,10.42,-21.02895186342553,9.59,3.0,47.9,SABb,S4G,predicted_B,10.272606043198067,265
NGC1637,3,3,10.081,-20.174794436071274,11.53,3.0,31.1,Sc,S4G,predicted_B,3.1014360047185967,81
NGC1672,3,3,10.587,-21.44081862969588,11.81,3.0,28.2,Sb,S4G,predicted_B,5.7724252401850835,149
NGC1688,3,3,9.689,-19.40121311939716,14.08,8.0,48.2,SBc,S4G,predicted_B,3.1008160790988235,81
NGC1744,3,3,9.458,-18.873869448665527,9.99,7.0,69.9,SBcd,S4G,predicted_B,4.456262509153518,115
NGC1879,3,3,9.477,-18.900944838084136,19.3,9.0,52.4,SBm,S4G,predicted_B,5.5913139206036275,145
NGC2500,3,3,9.604,-19.125897540141146,11.99,6.5,20.6,Scd,S4G,predicted_B,3.114407990724511,81
NGC2543,3,3,10.451,-21.041205051342118,32.89,3.0,66.4,Sb,S4G,predicted_B,5.926071119348226,153
NGC2608,3,3,10.086,-20.166605820989254,21.22,3.0,64.3,Sb,S4G,predicted_B,3.2978347705454754,85
NGC2633,3,3,10.489,-21.06336454081443,25.97,3.0,53.8,Sb,S4G,predicted_B,4.596968269414345,119
NGC2655,3,3,11.112,-22.666623045948008,24.4,0.0,66.2,S0-a,S4G,predicted_B,6.450967880608722,167
NGC2685,3,3,10.03,-19.9996573512173,13.05,-2.5,68.7,S0-a,S4G,predicted_B,3.7657223941029656,97
NGC2710,3,3,10.387,-21.004305880323493,50.4,4.5,65.1,SBb,S4G,predicted_B,6.652128870556245,171
NGC2750,3,3,10.03,-20.086205330793128,20.43,3.5,45.4,SABc,S4G,predicted_B,3.9143109990933835,101
NGC2764,3,3,10.45,-20.989099132585565,37.4,1.0,66.3,S0,S4G,predicted_B,4.107680318401032,107
NGC2775,3,3,10.772,-21.745524745350092,15.5,-0.5,40.0,Sab,S4G,predicted_B,11.89480986163527,307
NGC2780,3,3,10.367,-20.87258877435034,55.55,1.0,45.7,Sb,S4G,predicted_B,4.779892626694789,123
NGC2787,3,3,10.906,-22.081232723316017,22.34,-2.0,66.1,S0-a,S4G,predicted_B,5.815435681637695,151
NGC2805,3,3,9.683,-19.409179542402544,12.76,5.0,36.0,SABc,S4G,predicted_B,5.241606065220929,135
NGC2854,3,3,10.216,-20.408566766361222,32.8,1.5,68.2,SBb,S4G,predicted_B,3.130481596683388,81
NGC2859,3,4,10.52,-21.17671887083118,18.25,-1.0,32.9,S0-a,S4G,predicted_B,9.183366503718759,237
NGC2903,3,3,10.627,-21.51067746569394,7.99,3.0,67.1,SABb,S4G,predicted_B,3.568252604112442,93
NGC2968,3,3,10.1,-20.032924808960782,14.01,-1.0,52.7,Sa,S4G,predicted_B,3.532324618321826,91
NGC2985,3,3,10.879,-22.100070190400835,21.5,1.5,37.9,Sab,S4G,predicted_B,8.55292190210871,221
NGC3049,3,3,9.938,-19.761551941673485,23.14,2.0,58.1,SBb,S4G,predicted_B,4.422479949747323,115
NGC3055,3,3,10.248,-20.652223008550788,25.96,4.5,57.1,SABc,S4G,predicted_B,3.067093262883792,79
NGC3061,3,3,10.409,-21.14815812865085,55.1,3.0,39.6,Sc,S4G,predicted_B,7.556089914719469,195
NGC3155,3,3,10.224,-20.614791664819446,51.4,3.0,61.3,Sbc,S4G,predicted_B,3.4332736223340525,89
NGC3162,3,3,10.16,-20.48686509771953,22.05,4.5,37.1,SABc,S4G,predicted_B,2.983129974538067,77
NGC3166,3,3,10.929,-22.159016649966095,22.0,-1.0,56.1,S0-a,S4G,predicted_B,6.865781506606077,177
NGC3184,3,3,10.493,-21.26456236120423,12.27,4.0,14.4,SABc,S4G,predicted_B,6.109914374508041,157
NGC3254,3,3,10.505,-21.285927341705353,29.06,3.0,64.4,Sbc,S4G,predicted_B,8.185026504206489,211
NGC3259,3,3,10.064,-20.24238234170535,29.06,4.0,61.1,SABb,S4G,predicted_B,3.3586933302139728,87
NGC3310,3,3,10.136,-20.411603772395523,13.1,4.0,16.1,SABb,S4G,predicted_B,3.312635947826018,85
NGC3320,3,3,10.224,-20.69883518832597,33.25,4.5,65.5,SBc,S4G,predicted_B,3.7007831280633012,95
NGC3351,3,3,10.5,-21.130859001666842,9.94,1.0,54.6,Sb,S4G,predicted_B,4.694657259960127,121
NGC3485,3,3,9.91,-19.848110225415716,19.22,3.5,20.0,Sb,S4G,predicted_B,2.984243480217872,77
NGC3486,3,3,10.088,-20.296518200320357,11.4,5.0,46.0,Sc,S4G,predicted_B,6.296058474824186,163
NGC3507,3,3,10.052,-20.101372457370072,14.1,3.0,31.9,SBb,S4G,predicted_B,3.3383333311893733,87
NGC3521,3,3,11.012,-22.339815375792945,11.39,4.0,60.0,SABb,S4G,predicted_B,10.099978946675988,261
NGC3583,3,3,10.684,-21.568030086666287,27.74,2.2,58.7,SBb,S4G,predicted_B,3.056582574304409,79
NGC3599,3,3,10.108,-20.222814981193896,21.09,-2.5,28.3,S0,S4G,predicted_B,4.255605280393328,109
NGC3626,3,3,10.375,-20.900243069934557,17.75,-0.5,55.9,S0-a,S4G,predicted_B,3.7232567153506393,97
NGC3627,3,3,10.829,-21.94162570964443,9.62,3.0,67.5,SABb,S4G,predicted_B,4.674746533564661,121
NGC3637,3,4,10.384,-20.671755025025472,24.1,-1.5,33.5,S0,S4G,predicted_B,3.6917104623669625,95
NGC3655,3,3,10.688,-21.660385208029375,30.86,4.0,47.1,Sc,S4G,predicted_B,6.305142100558455,163
NGC3673,3,4,10.458,-21.02179958191637,22.57,2.0,50.6,Sb,S4G,predicted_B,5.21369497998723,135
NGC3675,3,3,10.861,-21.97695335181636,16.09,3.0,59.5,Sb,S4G,predicted_B,5.045881024398226,131
NGC3681,3,3,10.435,-21.109419559567712,28.38,1.0,15.2,Sbc,S4G,predicted_B,3.060493989711522,79
NGC3683,3,3,10.832,-21.791067648280784,32.15,4.5,68.8,SBc,S4G,predicted_B,3.3875250713539313,87
NGC3686,3,3,10.194,-20.458881648203608,16.14,4.0,42.0,SBbc,S4G,predicted_B,3.4038106726206636,87
NGC3718,3,3,10.407,-20.93046038376586,14.67,1.0,66.5,Sa,S4G,predicted_B,10.841434629284848,279
NGC3729,3,3,10.349,-20.933696370133845,20.16,0.0,46.9,Sa,S4G,predicted_B,3.509791188163935,91
NGC3755,3,3,10.051,-20.136872902952437,33.48,5.0,69.1,SABc,S4G,predicted_B,10.715852580621782,277
NGC3786,3,3,10.782,-21.77607336608286,46.18,0.0,65.2,SABa,S4G,predicted_B,8.30805880401676,215
NGC3810,3,3,10.431,-21.062275415867067,15.49,5.0,48.2,Sc,S4G,predicted_B,4.027797773664892,103
NGC3887,3,3,10.455,-21.140755203668924,17.69,4.0,39.4,Sbc,S4G,predicted_B,3.9089353201778945,101
NGC3892,3,3,10.679,-21.456638462240186,27.2,-1.5,32.0,S0-a,S4G,predicted_B,13.62596465745627,351
NGC3896,3,2,8.953,-17.67272758169838,12.32,9.0,57.7,S0-a,S4G,predicted_B,18.160627309487666,469
NGC3930,3,3,9.369,-18.432584471898792,12.97,7.0,43.0,SABc,S4G,predicted_B,4.2532086996718315,109
NGC3953,3,3,10.784,-21.958784503578624,16.59,3.2,62.1,Sbc,S4G,predicted_B,6.4210453804193,165
NGC3992,3,4,10.976,-22.439333983933754,20.6,2.0,47.4,Sbc,S4G,predicted_B,11.259799848902697,291
NGC3998,3,3,10.79,-21.85077487280568,20.14,-2.5,41.4,S0,S4G,predicted_B,3.4187157383676383,89
NGC4030,3,3,10.933,-22.20922264602949,21.92,4.0,47.1,Sbc,S4G,predicted_B,4.470505346951696,115
NGC4034,3,3,9.733,-19.346982813399947,34.02,3.0,54.0,Sc,S4G,predicted_B,4.18969797105979,109
NGC4037,3,3,9.356,-18.347395375792942,11.39,3.5,22.0,Sb,S4G,predicted_B,2.944053950835098,77
NGC4041,3,3,10.86,-22.15208164797167,31.2,5.0,22.0,Sbc,S4G,predicted_B,4.7783387850144905,123
NGC4045,3,3,10.661,-21.51133100830124,30.73,2.0,55.9,SABa,S4G,predicted_B,6.734707856071205,173
NGC4050,3,2,10.683,-21.492215968581426,31.56,1.0,54.6,Sab,S4G,predicted_B,19.747751572899944,509
NGC4051,3,3,10.47,-21.187519009377677,13.71,3.0,30.2,SABb,S4G,predicted_B,4.992350173129915,129
NGC4067,3,3,10.415,-21.07652456146924,41.15,2.0,45.5,Sb,S4G,predicted_B,3.25673224834596,85
NGC4102,3,3,10.665,-21.43727878066354,19.52,2.0,58.2,SABb,S4G,predicted_B,3.618336669911211,93
NGC4123,3,3,10.048,-20.17894418534689,15.59,2.5,44.3,Sc,S4G,predicted_B,4.758769387089964,123
NGC4141,3,3,9.263,-18.2927998635366,27.35,7.5,51.3,SBc,S4G,predicted_B,3.1799402097915257,83
NGC4189,3,3,10.535,-21.290205392287223,29.93,4.0,35.9,Sc,S4G,predicted_B,5.479171276631128,141
NGC4210,3,3,10.361,-20.837858378739288,36.37,3.5,46.2,Sb,S4G,predicted_B,4.369845350088478,113
NGC4254,3,3,10.813,-21.986735384288774,15.19,5.0,20.1,Sc,S4G,predicted_B,4.839491408984741,125
NGC4267,3,3,10.428,-20.960986195598117,16.69,-3.0,57.5,E-S0,S4G,predicted_B,3.827919092053373,99
NGC4273,3,3,10.584,-21.430876019132963,29.04,5.0,26.9,Sc,S4G,predicted_B,3.152030359143017,81
NGC4274,3,3,10.591,-21.300979377740656,13.91,0.0,68.0,SBab,S4G,predicted_B,6.543456786945445,169
NGC4293,3,4,10.48,-21.17325052406487,14.47,0.0,59.4,S0-a,S4G,predicted_B,5.900972919305686,153
NGC4314,3,4,10.131,-20.215891787762835,9.7,1.0,16.2,Sa,S4G,predicted_B,3.695088790316739,95
NGC4351,3,3,9.82,-19.67671991821517,21.46,8.0,37.4,SBab,S4G,predicted_B,11.635722717881913,301
NGC4378,3,3,10.69,-21.542794010263968,27.75,1.0,23.9,Sa,S4G,predicted_B,8.554695280183502,221
NGC4394,3,3,10.442,-21.08166350271295,17.8,0.0,16.6,SBb,S4G,predicted_B,5.287457078775661,137
NGC4409,3,3,9.825,-19.57747248261947,17.0,7.5,63.3,SBc,S4G,predicted_B,3.8990997283198503,101
NGC4412,3,3,10.428,-21.03817874761813,35.6,3.5,26.8,SBb,S4G,predicted_B,3.7566301355876983,97
NGC4430,3,3,9.945,-19.894225759741005,19.28,8.0,43.9,Sb,S4G,predicted_B,3.4501693141236887,89
NGC4448,3,3,10.704,-21.59637958191637,22.57,0.5,52.5,SBab,S4G,predicted_B,5.638793403291493,145
NGC4450,3,4,10.663,-21.59457157630216,15.08,0.5,48.8,Sab,S4G,predicted_B,4.761764400528346,123
NGC4454,3,4,10.537,-21.253294115570913,31.35,0.0,25.4,S0-a,S4G,predicted_B,4.999913038679219,129
NGC4457,3,3,10.256,-20.49369754014115,11.99,-1.0,34.6,S0-a,S4G,predicted_B,4.428282398870254,115
NGC4504,3,3,9.981,-20.040650356527017,17.06,5.0,52.9,SABc,S4G,predicted_B,3.9787117853068197,103
NGC4531,3,3,9.973,-19.89267484358503,15.15,0.5,55.7,S0-a,S4G,predicted_B,3.0057951010824837,77
NGC4535,3,3,10.685,-21.72620175767044,15.58,5.0,23.8,Sc,S4G,predicted_B,7.22294256036649,187
NGC4548,3,3,10.69,-21.64926938820068,15.85,1.5,36.9,Sb,S4G,predicted_B,7.20857155236974,187
NGC4559,3,3,9.881,-19.875034097035822,7.53,6.0,64.8,Sc,S4G,predicted_B,3.026496885732114,79
NGC4571,3,3,10.213,-20.50242891902616,16.12,5.0,22.1,Sc,S4G,predicted_B,4.6160293864261845,119
NGC4579,3,3,11.062,-22.544180942036206,18.4,1.0,41.9,SABb,S4G,predicted_B,6.777528303191468,175
NGC4591,3,3,10.426,-20.99901209350116,48.07,1.5,59.9,Sb,S4G,predicted_B,3.362182672745159,87
NGC4593,3,4,11.055,-22.452161719025256,34.33,1.0,33.0,Sb,S4G,predicted_B,10.838768264839636,279
NGC4596,3,3,10.439,-20.952392351217302,13.05,-0.5,36.7,S0-a,S4G,predicted_B,5.0023260472526685,129
NGC4606,3,3,9.739,-19.379156952038272,14.94,-2.5,62.6,SBa,S4G,predicted_B,4.495612215053064,117
NGC4639,3,3,10.363,-20.908617415998197,22.6,2.0,51.0,Sbc,S4G,predicted_B,3.223493248237349,83
NGC4643,3,3,11.016,-22.34565641991427,25.7,-1.5,42.9,S0-a,S4G,predicted_B,8.574950296828199,221
NGC4651,3,3,10.736,-21.81626314616693,22.75,3.2,49.5,Sc,S4G,predicted_B,9.412228846970734,243
NGC4666,3,3,10.89,-21.946456150411006,17.05,5.0,69.6,SABc,S4G,predicted_B,10.881471242414609,281
NGC4668,3,3,9.295,-18.39045921862942,16.54,9.0,63.9,SBcd,S4G,predicted_B,3.065886917433847,79
NGC4699,3,3,11.168,-22.803030628357938,19.66,0.0,42.6,SABb,S4G,predicted_B,9.426174799554397,243
NGC4725,3,3,10.853,-22.100894099186192,13.08,1.0,45.4,SABa,S4G,predicted_B,7.790415415808825,201
NGC4736,3,3,10.564,-21.355402904006382,5.13,1.0,31.7,Sab,S4G,predicted_B,10.596758538360051,273
NGC4750,3,3,10.751,-21.78342259612248,26.1,1.0,32.3,Sab,S4G,predicted_B,5.711471837483347,147
NGC4779,3,3,10.492,-21.217665736762477,40.84,3.0,46.5,SBc,S4G,predicted_B,6.42127995940483,165
NGC4795,3,3,10.674,-21.525364639973326,37.37,1.0,53.2,SBa,S4G,predicted_B,6.184652533021775,159
NGC4799,3,3,10.421,-20.865030489810355,40.0,-2.0,68.7,Sb,S4G,predicted_B,4.059475851624045,105
NGC4814,3,3,10.72,-21.716051596857884,38.68,4.0,45.0,Sb,S4G,predicted_B,7.697555074412269,199
NGC4897,3,3,10.608,-21.48291939289233,44.97,3.0,38.3,Sbc,S4G,predicted_B,7.899989768065503,203
NGC4902,3,3,10.932,-22.2920128645955,33.76,2.5,26.6,Sb,S4G,predicted_B,6.206376267978682,161
NGC4941,3,4,10.167,-20.34546457173098,13.66,0.0,36.6,SABa,S4G,predicted_B,7.31305391329324,189
NGC4942,3,3,9.812,-19.62072659656288,28.08,5.0,44.0,SABc,S4G,predicted_B,3.2042288945310755,83
NGC4984,3,3,10.742,-21.602666034040517,21.3,0.0,47.1,S0-a,S4G,predicted_B,8.63153570334451,223
NGC4995,3,3,10.705,-21.708011055602245,26.42,2.0,54.6,SABb,S4G,predicted_B,4.6204192599701726,119
NGC5033,3,3,10.851,-22.031249979024462,16.47,5.5,64.6,Sc,S4G,predicted_B,8.67393490299359,223
NGC5055,3,3,10.748,-21.771208894209874,7.71,4.0,54.9,Sbc,S4G,predicted_B,4.615525358935787,119
NGC5101,3,3,10.732,-21.620735201001434,17.23,0.0,22.3,S0-a,S4G,predicted_B,7.373396566479017,191
NGC5117,3,3,9.929,-19.813443297337383,37.64,6.5,62.5,SBc,S4G,predicted_B,6.942913664496073,179
NGC5195,3,3,10.336,-20.673331207144326,7.22,-0.5,40.5,SBa,S4G,predicted_B,4.6924038737208225,121
NGC5205,3,3,10.133,-20.310976370299855,31.79,2.0,56.4,Sbc,S4G,predicted_B,5.701560697132041,147
NGC5218,3,3,10.926,-22.190745184960537,51.42,1.0,51.1,SBb,S4G,predicted_B,6.0737431353131575,157
NGC5236,3,3,11.032,-22.581702661567626,6.51,5.0,14.1,Sc,S4G,predicted_B,5.654570713526988,145
NGC5248,3,3,10.531,-21.258376169890184,13.04,4.2,56.4,SABb,S4G,predicted_B,7.443392690051857,193
NGC5300,3,3,10.073,-20.07926632857662,19.62,5.0,50.8,SABc,S4G,predicted_B,5.2727627679674045,137
NGC5311,3,2,10.579,-21.275373591262444,35.63,-3.0,37.5,S0-a,S4G,predicted_B,8.83724552789764,229
NGC5334,3,3,10.461,-21.11172336646333,33.32,6.0,44.8,Sc,S4G,predicted_B,9.096588432313393,235
NGC5337,3,3,10.587,-21.472332841027658,52.2,0.0,66.3,Sab,S4G,predicted_B,4.622942167943996,119
NGC5339,3,3,10.511,-21.289826186941383,36.8,2.0,37.1,Sa,S4G,predicted_B,6.27655546568175,163
NGC5350,3,3,10.526,-21.29241081891531,27.19,2.7,54.1,Sbc,S4G,predicted_B,5.531414915382401,143
NGC5364,3,3,10.468,-21.17562014208759,16.2,3.5,67.5,Sbc,S4G,predicted_B,7.076865612608834,183
NGC5375,3,4,10.673,-21.637813961367467,39.38,1.5,44.8,SBab,S4G,predicted_B,8.730270645216041,225
NGC5383,3,4,10.779,-21.905146409628447,33.94,1.5,42.3,Sb,S4G,predicted_B,8.268424609270971,213
NGC5430,3,3,10.809,-21.862417028433523,39.42,3.0,50.2,SBb,S4G,predicted_B,5.832001986452228,151
NGC5448,3,3,10.602,-21.51590858666516,29.31,1.0,64.4,Sa,S4G,predicted_B,13.015647292654863,337
NGC5473,3,3,10.625,-21.45569405888081,26.82,-3.0,47.9,E-S0,S4G,predicted_B,3.7908845258472557,97
NGC5534,3,3,10.325,-20.78585186598171,31.8,1.0,26.3,Sab,S4G,predicted_B,4.313377697279972,111
