name,ra,dec,sample,type,cvrhs,t,incl_deg,dist_mpc,distmod,mabs1_3p6,logmstar,btot_app,b_abs,m_i,mi_source,mabs3_real,p4_url
ESO544-030,33.7386,-20.21175,S4G,Sd,SAB(s)m,9.0,55.5,14.73,30.841013734213156,-17.628,9.237,13.426,-17.415013734213154,-18.247948227540093,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO544-030/P4/
NGC4887,195.163545,-14.66625,ETG,S0-a,SAB(s)a: pec,1.0,69.2,36.08,32.78633264434952,-19.427,9.957,14.14,-18.64633264434952,-19.913543171422138,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4887/P4/
NGC4993,197.44875,-23.383944,ETG,E-S0,(L)SA(rl)0^-,-3.0,35.8,38.91,32.95030615401871,-21.164,10.652,13.452,-19.498306154018714,-21.4425619461944,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4993/P4/
NGC5006,197.94072,-19.261735,ETG,S0-a,(RPL)SAB(r)0/a,0.0,41.2,33.8,32.644583501388276,-20.802,10.507,13.396,-19.248583501388275,-21.106947122826245,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5006/P4/
NGC5010,198.10962,-15.797897,ETG,S0-a,SA(l)0^o sp / E(d)1-2,-2.0,47.0,39.97,33.00867074130053,-21.351,10.727,14.402,-18.606670741300526,-21.376082624205623,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5010/P4/
NGC5030,198.475605,-16.490944,ETG,S0-a,(L)SB_{xa}0^o,-2.0,57.1,32.16,32.53658020038207,-20.231,10.279,14.025,-18.51158020038207,-20.496936347089786,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5030/P4/
ESO345-002,335.57324,-40.089044,DG,Sb,SA(r$^{\prime}$l)d,7.0,64.9,30.84,32.445571846894595,-19.042,9.803,13.87,-18.575571846894597,-19.413,real,-19.413,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO345-002/P4/
ESO346-018,344.299554,-40.098777,DG,Sd,SA(s)cd,6.0,67.8,25.19,32.00614083749056,-17.871,9.335,14.53,-17.47614083749056,-18.395,real,-18.395,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO346-018/P4/
ESO347-020,352.882385,-42.146854,DG,Sc,SAc:,5.0,68.0,23.37,31.843293561961133,-16.753,8.887,14.96,-16.883293561961132,-17.4,real,-17.4,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO347-020/P4/
ESO352-036,19.466887,-36.313472,DG,Sb,SAB(rs)d:,7.0,62.6,29.94,32.38125898003516,-17.561,9.211,15.26,-17.121258980035165,-18.121,real,-18.121,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO352-036/P4/
ESO356-026,45.090505,-36.921197,DG,Sc,SB(s:)dm:,8.0,69.9,21.84,31.696263170163498,-16.746,8.885,15.07,-16.626263170163497,-17.394,real,-17.394,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO356-026/P4/
ESO400-027,307.075442,-35.850051,DG,Sbc,Sbc:,4.0,64.4,32.22,32.540627680415994,-17.37,9.134,15.29,-17.250627680415995,-17.951,real,-17.951,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO400-027/P4/
ESO404-028,331.06335,-32.604196,DG,Sb,SA(rs)ab,2.0,57.5,31.37,32.482572593488726,-18.496,9.585,15.14,-17.342572593488725,-18.941,real,-18.941,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO404-028/P4/
ESO404-039,332.9241,-33.885897,DG,S0-a,SA(\underline{r}l)0/a,8.0,64.6,33.91,32.65163894889043,-19.382,9.939,14.4,-18.25163894889043,-19.704,real,-19.704,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO404-039/P4/
PGC045955,198.384214,-17.078647,DG,Sa,SA(rl)0/a,0.0,27.8,38.2,32.91031681455854,-20.333,10.32,14.27,-18.640316814558542,-20.511,real,-20.511,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045955/P4/
PGC046256,199.234181,-16.59276,DG,Sbc,S0$^-$ sp / E(d)7-8,-3.0,69.4,23.28,31.834914879889254,-18.338,9.522,15.1,-16.734914879889253,-18.631274996773975,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046256/P4/
PGC046436,199.822949,-15.156977,DG,Sab,SB$_\textrm{x}$(r)0$^+$ / E(d)6-7,-1.0,63.8,33.8,32.644583501388276,-19.286,9.901,14.7,-17.944583501388276,-19.623,real,-19.623,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046436/P4/
PGC046630,200.34975,57.69455,DG,I,Im pec / E7,10.0,66.4,27.4,32.18875281410194,-16.931,8.959,15.3,-16.888752814101938,-17.56,real,-17.56,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046630/P4/
PGC049341,208.317605,40.79597,DG,Sd,SB(s)dm,8.0,57.6,26.32,32.101429424709586,-16.848,8.925,15.45,-16.651429424709587,-17.486,real,-17.486,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC049341/P4/
PGC051309,215.404817,50.390419,DG,Sab,SB(s)a,1.0,60.8,30.95,32.45330326678068,-18.72,9.674,15.15,-17.30330326678068,-19.05707626769346,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC051309/P4/
UGC07178,182.76511,2.00564,DG,I,SB(rs)d,7.0,20.1,23.2,31.827439924454495,-16.233,8.679,15.36,-16.467439924454496,-16.931,real,-16.931,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/UGC07178/P4/
UGC07346,184.673481,17.718962,DG,E-S0,dE$^+$0,11.0,17.0,9.02,29.77603268770971,-15.667,8.453,14.43,-15.346032687709709,-16.415,real,-16.415,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/UGC07346/P4/
NGC2679,132.88728,30.865347,ETG,S0,(RL)SAB(rl)0^+,-1.0,0.0,25.0,31.989700043360187,-19.746,10.085,14.066,-17.923700043360185,-19.987759510189644,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC2679/P4/
NGC2853,140.822265,40.200082,ETG,S0-a,"(RP,L)SA(r)ab",2.0,63.0,28.2,32.2512455415968,-18.45,9.566,14.441,-17.8102455415968,-18.969657702275246,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC2853/P4/
NGC2950,145.64637,58.85123,ETG,S0,"(RL)SB_a_(l,bl)0^{o/+}^",-1.0,61.8,18.37,31.32054578152904,-20.8,10.506,11.928,-19.39254578152904,-21.139248258659325,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC2950/P4/
NGC3292,158.89341,-6.179639,ETG,S0,S0^- sp / E(d)4,-3.0,47.1,29.9,32.37835594162215,-18.982,9.779,14.79,-17.588355941622147,-19.324493646281205,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3292/P4/
NGC6239,252.520879,42.739887,S4G,SBb,SA\underline{B}(s)m pec / cc,9.0,65.9,19.22,31.418766916662634,-18.989,9.782,12.889,-18.529766916662634,-19.55108022541572,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6239/P4/
NGC6255,253.69698,36.50183,S4G,SBc,SB(s)\underline{d}m,7.5,65.7,20.69,31.578802453328677,-18.014,9.392,13.566,-18.012802453328675,-18.68371857653224,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6255/P4/
NGC6267,254.53606,22.985143,S4G,Sc,SB(rs)b,3.0,41.5,53.95,33.659957245094645,-21.04,10.602,13.82,-19.839957245094645,-21.42798995259724,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6267/P4/
NGC6339,259.277283,40.844976,S4G,Sc,SB(r\underline{s})cd,6.0,52.0,28.81,32.29771629140207,-19.741,10.083,13.836,-18.46171629140207,-20.110368328479485,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6339/P4/
NGC6340,257.603321,72.304458,S4G,S0-a,(R')SA(l)0/a,0.0,19.9,19.52,31.45239906665337,-20.649,10.446,11.966,-19.48639906665337,-21.045788780663543,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6340/P4/
NGC3779,174.712489,-10.583813,S4G,SBcd,SAB(s)m pec,9.0,60.8,22.59,31.769581154601816,-17.138,9.041,14.345,-17.424581154601817,-17.875346571331427,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3779/P4/
NGC3780,174.843182,56.270703,S4G,Sc,SA(rs)b\underline{c},4.5,35.3,33.62,32.632988545517264,-21.256,10.689,12.129,-20.503988545517267,-21.749277308196557,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3780/P4/
NGC3782,174.836452,46.513874,S4G,Scd,SB(r\underline{s})m,9.0,60.3,12.81,30.53774564872343,-17.384,9.14,13.092,-17.44574564872343,-18.068510227450005,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3782/P4/
NGC3786,174.92709,31.909477,S4G,SABa,(R')SA_x_(r)0/a pec,0.0,65.2,46.18,33.32226964290579,-21.49,10.782,13.466,-19.856269642905787,-21.77607336608286,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3786/P4/
NGC3794,175.225897,56.202077,S4G,SABc,SA(s)d pec,7.0,57.8,19.19,31.415374873677358,-18.067,9.413,13.726,-17.68937487367736,-18.64825809531418,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3794/P4/
NGC3795A,174.83715,58.26821,S4G,Sc,SAB(s)dm,8.0,44.0,23.35,31.841434424510652,-18.306,9.509,14.254,-17.587434424510654,-18.807137089760005,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3795A/P4/
NGC3810,175.244835,11.471085,S4G,Sc,SA(s)c,5.0,48.2,15.49,30.95025708879603,-20.611,10.431,11.27,-19.68025708879603,-21.062275415867067,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3810/P4/
